사번,이름,성별,나이,근속기간,입사년도,직급,팀구분,퇴직구분,초과근무,성과점수,미사용.휴가일수,연봉,사번_masked
3411,Employee_0313,남,42,24,2015,사원,총무,No,188,30,5,55289341,EID-****-411
491,Employee_0314,남,34,15,2015,사원,기획,No,8,44,4,73859063,EID-****
4545,Employee_0315,남,35,15,2012,대리,마켓팅,Yes,226,54,17,112287848,EID-****-545
926,Employee_0316,여,31,9,2012,사원,영업,No,120,52,9,44859063,EID-****
5450,Employee_0317,남,29,10,2014,주임,재무,No,71,42,23,95540139,EID-****-450
4496,Employee_0318,여,44,28,2015,사원,영업,No,194,47,11,50433265,EID-****-496
4700,Employee_0319,남,29,19,2014,대리,영업,No,192,49,5,109752987,EID-****-700
2765,Employee_0320,남,33,12,2014,사원,개발,Yes,208,29,14,55930278,EID-****-765
1285,Employee_0321,여,31,17,2010,인턴,법무,Yes,295,43,6,28859063,EID-****-285
2780,Employee_0322,남,33,15,2011,사원,인사,No,140,69,13,74530278,EID-****-780
330,Employee_0323,남,37,19,2010,주임,총무,No,102,39,15,82532917,EID-****
2712,Employee_0324,여,42,27,2013,사원,기획,No,122,37,11,72750696,EID-****-712
5222,Employee_0325,여,38,23,2011,주임,마켓팅,No,10,58,3,87873057,EID-****-222
4013,Employee_0326,남,36,15,2015,사원,재무,No,199,65,7,61716633,EID-****-013
2867,Employee_0327,남,34,28,2011,주임,개발,No,44,41,11,97406911,EID-****-867
4524,Employee_0328,남,43,25,2011,대리,법무,No,155,34,14,113236876,EID-****-524
300,Employee_0329,남,40,22,2014,사원,인사,No,428,40,6,60831772,EID-****
1789,Employee_0330,남,42,21,2011,사원,총무,No,374,79,16,71489341,EID-****-789
1424,Employee_0331,여,39,21,2011,주임,개발,Yes,242,80,4,86289341,EID-****-424
5241,Employee_0332,남,30,14,2016,사원,영업,No,119,41,14,50143924,EID-****-241
2809,Employee_0333,남,38,17,2014,사원,기획,No,104,40,4,68699202,EID-****-809
1696,Employee_0334,남,38,18,2016,대리,마켓팅,No,109,39,11,106574202,EID-****-696
1283,Employee_0335,남,35,14,2010,인턴,재무,Yes,299,44,15,27337848,EID-****-283
5598,Employee_0336,남,33,14,2014,인턴,영업,No,104,61,10,30955278,EID-****-598
5698,Employee_0337,남,47,27,2011,주임,법무,No,153,48,21,78633265,EID-****-698
1656,Employee_0338,남,45,25,2011,과장,인사,No,116,63,4,116544446,EID-****-656
4535,Employee_0339,남,35,28,2012,차장,영업,No,349,58,13,131038196,EID-****-535
4455,Employee_0340,남,32,20,2012,과장,총무,No,326,44,15,126601841,EID-****-455
1481,Employee_0341,남,41,23,2011,사원,기획,No,153,49,13,70035557,EID-****-481
4249,Employee_0342,남,31,14,2016,사원,마켓팅,No,96,25,29,51572709,EID-****-249
5628,Employee_0343,남,35,16,2015,사원,영업,No,227,30,10,45287848,EID-****-628
3918,Employee_0344,남,37,14,2015,사원,영업,No,211,52,0,68145417,EID-****-918
3465,Employee_0345,남,46,26,2012,사원,재무,No,248,36,6,49604481,EID-****-465
4134,Employee_0346,남,34,23,2016,대리,법무,No,78,42,7,113146911,EID-****-134
5665,Employee_0347,남,29,9,2016,사원,인사,No,190,48,16,43715139,EID-****-665
2224,Employee_0348,남,31,13,2013,주임,총무,No,52,45,23,89672709,EID-****-224
2425,Employee_0349,남,42,24,2012,과장,기획,No,225,50,11,118808091,EID-****-425
5317,Employee_0350,남,33,25,2010,주임,마켓팅,No,287,51,9,93918126,EID-****-317
3596,Employee_0351,남,37,19,2015,인턴,재무,No,91,47,11,33145417,EID-****-596
1085,Employee_0352,남,26,6,2016,인턴,법무,No,214,32,16,29428785,EID-****-085
619,Employee_0353,여,35,16,2012,사원,인사,No,202,61,11,50724202,EID-****
4210,Employee_0354,남,37,20,2016,대리,총무,No,101,46,5,105145417,EID-****-210
3855,Employee_0355,남,37,18,2015,주임,기획,No,57,39,14,78145417,EID-****-855
4623,Employee_0356,여,28,12,2013,인턴,마켓팅,No,83,56,8,37072709,EID-****-623
107,Employee_0357,여,29,13,2012,주임,재무,Yes,439,83,2,83501494,EID-****
3331,Employee_0358,남,41,23,2014,사원,법무,No,129,34,14,70985557,EID-****-331
2556,Employee_0359,남,46,27,2011,주임,인사,No,234,35,20,77179481,EID-****-556
49,Employee_0360,남,32,13,2011,주임,총무,No,92,45,5,94501494,EID-****
1967,Employee_0361,남,47,31,2014,주임,기획,No,48,44,8,81558265,EID-****-967
2335,Employee_0362,여,34,32,2013,주임,마켓팅,Yes,344,49,9,90533265,EID-****-335
4786,Employee_0363,여,48,34,2015,주임,재무,Yes,230,77,6,97273404,EID-****-786
4105,Employee_0364,남,37,15,2016,사원,법무,No,184,23,23,55145417,EID-****-105
2114,Employee_0365,남,32,10,2010,주임,인사,No,176,56,7,85613994,EID-****-114
2921,Employee_0366,남,47,28,2014,주임,총무,No,13,30,9,82558265,EID-****-921
3166,Employee_0367,여,40,34,2014,주임,기획,No,166,51,5,96130974,EID-****-166
977,Employee_0368,남,33,14,2012,사원,마켓팅,No,134,59,8,41117778,EID-****
1689,Employee_0369,여,39,23,2011,대리,재무,No,71,61,5,99489341,EID-****-689
3672,Employee_0370,남,49,27,2011,주임,법무,No,459,73,7,81828335,EID-****-672
3909,Employee_0371,남,37,20,2015,사원,인사,No,221,54,20,48145417,EID-****-909
341,Employee_0372,남,36,19,2011,대리,개발,No,28,55,7,103066633,EID-****
5026,Employee_0373,남,33,13,2012,대리,총무,Yes,235,55,19,99480278,EID-****-026
2751,Employee_0374,남,50,29,2013,과장,기획,Yes,246,45,13,129794620,EID-****-751
4672,Employee_0375,여,28,11,2013,대리,개발,No,5,65,6,97822709,EID-****-672
1785,Employee_0376,남,43,25,2011,과장,마켓팅,No,32,34,27,128458126,EID-****-785
3310,Employee_0377,남,40,18,2014,사원,영업,Yes,475,75,10,52431772,EID-****-310
4560,Employee_0378,남,31,13,2012,대리,재무,No,120,49,2,113147709,EID-****-560
5185,Employee_0379,남,44,22,2016,사원,개발,No,182,32,27,70146911,EID-****-185
1969,Employee_0380,남,41,20,2011,대리,영업,No,65,34,16,110460557,EID-****-969
4586,Employee_0381,남,50,28,2015,대리,법무,No,311,40,7,106719620,EID-****-586
397,Employee_0382,남,35,24,2011,대리,영업,No,151,23,21,104555696,EID-****
5668,Employee_0383,남,29,9,2016,주임,인사,No,83,32,14,93715139,EID-****-668
4963,Employee_0384,여,27,11,2016,사원,총무,No,160,40,7,43143924,EID-****-963
1655,Employee_0385,남,43,27,2011,대리,개발,No,261,32,23,113049376,EID-****-655
2648,Employee_0386,남,35,18,2016,사원,기획,No,203,42,5,57287848,EID-****-648
1709,Employee_0387,남,44,25,2011,주임,마켓팅,No,13,45,15,84346911,EID-****-709
4878,Employee_0388,여,43,26,2014,사원,재무,No,227,37,9,53129481,EID-****-878
2521,Employee_0389,여,49,35,2015,과장,개발,No,32,46,4,117577189,EID-****-521
831,Employee_0390,남,32,14,2012,인턴,법무,No,42,42,18,39051494,EID-****
1845,Employee_0391,여,39,21,2011,사원,영업,No,120,58,5,74464341,EID-****-845
5198,Employee_0392,여,48,34,2011,사원,인사,No,176,37,4,72323404,EID-****-198
3740,Employee_0393,남,40,32,2015,주임,총무,No,29,37,12,95844620,EID-****-740
5161,Employee_0394,남,30,10,2015,주임,영업,No,87,70,4,95143924,EID-****-161
2753,Employee_0395,남,42,23,2013,주임,기획,Yes,244,32,8,80289341,EID-****-753
3235,Employee_0396,여,39,23,2014,주임,마켓팅,Yes,172,77,0,79289341,EID-****-235
186,Employee_0397,남,31,9,2014,사원,영업,No,195,25,11,44372709,EID-****
5029,Employee_0398,남,42,22,2015,사원,영업,No,194,37,11,55289341,EID-****-029
4271,Employee_0399,남,33,17,2010,과장,재무,No,34,52,19,122436528,EID-****-271
4929,Employee_0400,여,26,9,2015,사원,개발,No,82,46,12,40615139,EID-****-929
2414,Employee_0401,남,40,27,2012,대리,법무,No,233,62,15,97969620,EID-****-414
3890,Employee_0402,남,53,32,2012,대리,인사,No,244,45,18,104180974,EID-****-890
3976,Employee_0403,남,31,21,2011,대리,영업,No,151,48,15,98840557,EID-****-976
4628,Employee_0404,남,32,16,2013,주임,총무,No,28,59,17,90851494,EID-****-628
2212,Employee_0405,남,46,26,2012,주임,기획,No,127,52,3,86904481,EID-****-212
1400,Employee_0406,남,38,22,2013,사원,마켓팅,Yes,190,47,11,65624202,EID-****-400
2195,Employee_0407,남,41,31,2012,대리,재무,No,13,46,12,109748404,EID-****-195
1556,Employee_0408,남,37,19,2016,인턴,개발,No,34,52,9,30145417,EID-****-556
1037,Employee_0409,남,29,9,2015,사원,법무,No,232,51,3,61715139,EID-****-037
2541,Employee_0410,여,36,16,2013,주임,영업,Yes,151,55,12,79002987,EID-****-541
4419,Employee_0411,남,33,12,2011,사원,인사,No,97,50,13,41305278,EID-****-419
3468,Employee_0412,남,48,25,2015,사원,총무,No,218,35,11,63862050,EID-****-468
1022,Employee_0413,여,27,22,2015,사원,기획,No,40,38,2,68431772,EID-****-022
2860,Employee_0414,여,45,28,2014,주임,마켓팅,No,5,59,9,95987050,EID-****-860
1684,Employee_0415,남,41,19,2011,차장,재무,No,20,51,13,130210557,EID-****-684
4067,Employee_0416,남,52,32,2016,사원,영업,No,167,41,24,41577189,EID-****-067
1991,Employee_0417,남,36,17,2016,사원,개발,No,320,41,5,43716633,EID-****-991
4740,Employee_0418,남,29,9,2014,인턴,법무,No,293,47,12,16590139,EID-****-740
2810,Employee_0419,남,38,28,2014,주임,인사,No,153,59,18,88987050,EID-****-810
4477,Employee_0420,남,34,12,2012,사원,총무,No,153,55,9,57171563,EID-****-477
3914,Employee_0421,남,35,16,2010,주임,기획,No,176,39,7,95437848,EID-****-914
698,Employee_0422,남,33,27,2012,대리,영업,No,80,43,16,113274376,EID-****
4281,Employee_0423,남,46,23,2013,차장,마켓팅,No,101,30,15,131766981,EID-****-281
5036,Employee_0424,남,47,27,2015,과장,재무,No,110,58,12,122433265,EID-****-036
4895,Employee_0425,여,28,14,2013,인턴,개발,No,144,55,7,37847709,EID-****-895
4335,Employee_0426,남,33,11,2011,사원,법무,No,292,41,8,55442778,EID-****-335
108,Employee_0427,남,30,6,2012,사원,인사,No,196,37,12,45793924,EID-****
3863,Employee_0428,남,41,18,2015,주임,총무,No,17,51,10,79985557,EID-****-863
183,Employee_0429,남,38,15,2014,대리,기획,No,136,59,7,115074202,EID-****
3321,Employee_0430,남,55,33,2015,사원,영업,No,195,25,13,73863544,EID-****-321
909,Employee_0431,남,35,13,2012,인턴,마켓팅,No,153,38,14,33750348,EID-****
3512,Employee_0432,남,39,20,2011,사원,재무,No,206,52,18,67412987,EID-****-512
3922,Employee_0433,여,35,19,2015,사원,개발,No,153,40,11,52574202,EID-****-922
2557,Employee_0434,남,38,20,2013,주임,법무,No,61,41,14,89699202,EID-****-557
1904,Employee_0435,남,40,31,2011,부장,인사,No,298,83,8,141319620,EID-****-904
3829,Employee_0436,여,38,31,2015,차장,총무,No,32,46,7,134148404,EID-****-829
632,Employee_0437,남,31,17,2012,주임,영업,No,357,70,13,92572709,EID-****
369,Employee_0438,남,49,28,2016,사원,영업,No,216,48,1,62290835,EID-****
3866,Employee_0439,남,39,20,2015,사원,기획,No,251,34,6,52127987,EID-****-866
4197,Employee_0440,남,39,17,2016,주임,마켓팅,No,78,51,9,88002987,EID-****-197
5505,Employee_0441,남,46,29,2014,상무,재무,No,79,32,9,153129481,EID-****-505
2915,Employee_0442,남,40,22,2014,사원,개발,No,163,51,8,71556772,EID-****-915
4092,Employee_0443,남,34,17,2011,사원,법무,No,153,43,4,60059063,EID-****-092
1554,Employee_0444,남,41,21,2011,대리,인사,No,455,83,7,100035557,EID-****-554
973,Employee_0445,남,32,15,2012,사원,총무,No,375,37,16,54763994,EID-****
2394,Employee_0446,남,43,26,2012,사원,영업,No,207,35,25,70343126,EID-****-394
3755,Employee_0447,남,41,21,2015,사원,기획,No,330,33,13,63860557,EID-****-755
593,Employee_0448,남,32,15,2011,사원,영업,No,161,47,12,57936494,EID-****
4611,Employee_0449,남,30,12,2013,사원,마켓팅,No,42,43,17,72643924,EID-****-611
5283,Employee_0450,남,31,13,2013,사원,재무,Yes,211,32,27,70472709,EID-****-283
4454,Employee_0451,남,31,21,2012,주임,개발,No,274,44,14,81385557,EID-****-454
591,Employee_0452,남,31,19,2011,사원,법무,No,231,53,12,76177709,EID-****
613,Employee_0453,남,32,14,2012,사원,영업,No,115,47,14,64201494,EID-****
2260,Employee_0454,남,45,24,2012,차장,인사,No,94,49,10,131325696,EID-****-260
4437,Employee_0455,여,38,21,2014,사원,총무,No,183,38,11,65910557,EID-****-437
1868,Employee_0456,남,47,26,2011,대리,기획,No,111,51,1,109608265,EID-****-868
5486,Employee_0457,여,29,15,2014,주임,마켓팅,No,16,53,9,88351494,EID-****-486
1948,Employee_0458,여,42,28,2011,사원,재무,No,152,64,2,63750696,EID-****-948
4695,Employee_0459,남,28,11,2014,사원,개발,No,49,42,25,61786354,EID-****-695
5589,Employee_0460,여,33,17,2011,주임,법무,Yes,248,78,10,81966633,EID-****-589
3685,Employee_0461,남,37,18,2015,사원,인사,No,194,42,10,53145417,EID-****-685
1098,Employee_0462,남,26,7,2016,인턴,총무,No,217,32,25,4428785,EID-****-098
2808,Employee_0463,남,42,20,2014,주임,기획,No,374,49,17,77414341,EID-****-808
3568,Employee_0464,여,46,38,2015,주임,영업,No,201,33,10,85578683,EID-****-568
4904,Employee_0465,남,30,8,2014,인턴,마켓팅,No,228,30,27,17606424,EID-****-904
4561,Employee_0466,여,28,10,2012,사원,재무,No,78,65,9,68510209,EID-****-561
662,Employee_0467,여,27,10,2012,사원,개발,No,346,89,5,39493924,EID-****
1078,Employee_0468,남,28,9,2016,사원,법무,No,279,38,10,57286354,EID-****-078
2936,Employee_0469,남,43,20,2014,사원,인사,No,236,85,7,70843126,EID-****-936
2000,Employee_0470,남,41,24,2011,주임,총무,No,62,47,12,95035557,EID-****-000
1714,Employee_0471,여,38,16,2011,대리,기획,Yes,162,62,5,99860557,EID-****-714
2527,Employee_0472,남,47,29,2011,대리,마켓팅,No,332,25,14,109483265,EID-****-527
3953,Employee_0473,남,37,20,2015,사원,재무,No,61,50,12,63145417,EID-****-953
2468,Employee_0474,여,38,24,2013,주임,개발,No,112,41,12,81985557,EID-****-468
4300,Employee_0475,남,44,36,2013,과장,법무,No,315,43,4,120672259,EID-****-300
4784,Employee_0476,남,26,8,2016,인턴,인사,No,27,28,17,14428785,EID-****-784
2826,Employee_0477,남,50,34,2016,사원,총무,No,466,52,13,63719620,EID-****-826
4408,Employee_0478,여,32,16,2011,주임,기획,No,10,65,1,79300348,EID-****-408
2769,Employee_0479,남,32,14,2011,주임,마켓팅,No,153,51,10,77771494,EID-****-769
4756,Employee_0480,여,29,12,2016,인턴,재무,No,136,48,10,26001494,EID-****-756
590,Employee_0481,남,34,24,2011,대리,영업,No,255,60,7,97815661,EID-****
1097,Employee_0482,남,26,3,2016,사원,개발,No,50,36,3,69428785,EID-****-097
1286,Employee_0483,남,32,14,2010,주임,법무,Yes,173,42,22,90901494,EID-****-286
3625,Employee_0484,남,40,21,2015,사원,인사,No,288,54,11,53556772,EID-****-625
3896,Employee_0485,남,46,26,2015,과장,총무,No,90,45,19,121004481,EID-****-896
5513,Employee_0486,남,32,7,2014,인턴,기획,No,296,37,24,21401494,EID-****-513
2164,Employee_0487,여,39,19,2011,주임,마켓팅,No,265,61,0,80039341,EID-****-164
4495,Employee_0488,남,30,10,2012,주임,재무,No,93,32,16,96156424,EID-****-495
62,Employee_0489,남,37,19,2016,사원,개발,No,246,34,19,45145417,EID-****
3021,Employee_0490,남,42,22,2014,사원,법무,No,28,50,13,74414341,EID-****-021
3000,Employee_0491,남,38,20,2014,주임,인사,No,306,64,12,87974202,EID-****-000
2973,Employee_0492,남,40,21,2014,사원,총무,No,29,51,23,61556772,EID-****-973
529,Employee_0493,여,32,17,2011,사원,기획,Yes,303,62,12,58487848,EID-****
2096,Employee_0494,남,44,24,2011,주임,마켓팅,No,154,72,7,93231911,EID-****-096
3427,Employee_0495,남,41,34,2015,대리,재무,No,197,45,13,101148404,EID-****-427
2702,Employee_0496,남,40,21,2013,사원,개발,No,356,31,15,62031772,EID-****-702
4357,Employee_0497,남,38,19,2011,주임,법무,No,13,42,18,91392952,EID-****-357
4012,Employee_0498,남,38,21,2015,사원,인사,No,188,30,5,49574202,EID-****-012
3559,Employee_0499,남,40,18,2015,인턴,총무,No,59,46,9,37431772,EID-****-559
2041,Employee_0500,여,45,30,2014,사원,기획,No,64,50,10,40987050,EID-****-041
4694,Employee_0501,남,28,7,2014,주임,영업,No,153,39,18,97048854,EID-****-694
4022,Employee_0502,여,35,16,2015,사원,마켓팅,No,159,49,5,57574202,EID-****-022
394,Employee_0503,남,48,31,2011,주임,재무,No,258,37,22,80493300,EID-****
1187,Employee_0504,여,26,19,2016,주임,영업,No,38,45,8,94002987,EID-****-187
767,Employee_0505,남,31,12,2012,사원,개발,No,247,42,7,68947709,EID-****
4649,Employee_0506,남,32,10,2013,주임,법무,No,31,57,21,85001494,EID-****-649
3399,Employee_0507,남,39,22,2015,주임,인사,No,8,33,8,82127987,EID-****-399
721,Employee_0508,남,47,30,2011,차장,영업,No,66,56,7,134033265,EID-****
1555,Employee_0509,여,41,34,2010,주임,총무,No,120,37,11,95684759,EID-****-555
3357,Employee_0510,남,43,24,2014,주임,기획,No,162,48,14,77118126,EID-****-357
2080,Employee_0511,남,45,27,2013,대리,마켓팅,No,371,79,10,109700696,EID-****-080
855,Employee_0512,남,36,26,2012,대리,재무,No,364,25,22,102154481,EID-****
1955,Employee_0513,남,42,23,2011,사원,개발,No,207,32,13,71464341,EID-****-955
2631,Employee_0514,남,41,21,2013,사원,법무,No,156,31,12,72623057,EID-****-631
5419,Employee_0515,남,33,14,2013,주임,인사,No,74,32,5,82780278,EID-****-419
4034,Employee_0516,남,41,32,2015,대리,총무,No,237,36,6,106148404,EID-****-034
3834,Employee_0517,남,36,19,2010,대리,개발,No,110,44,15,105841633,EID-****-834
3389,Employee_0518,남,39,18,2015,사원,기획,No,106,34,26,66002987,EID-****-389
4887,Employee_0519,여,28,11,2013,사원,마켓팅,No,131,51,0,57847709,EID-****-887
4851,Employee_0520,남,49,28,2011,대리,재무,No,156,48,19,112390835,EID-****-851
3326,Employee_0521,남,38,19,2014,사원,개발,No,228,41,11,53699202,EID-****-326
781,Employee_0522,남,30,11,2012,주임,영업,No,40,47,1,91606424,EID-****
302,Employee_0523,여,45,42,2015,대리,법무,No,33,37,12,109149898,EID-****
225,Employee_0524,남,45,25,2013,사원,인사,No,153,49,1,70338196,EID-****
5679,Employee_0525,남,27,10,2016,인턴,총무,No,269,63,9,30857570,EID-****-679
1232,Employee_0526,여,30,14,2010,사원,기획,Yes,265,48,10,40880278,EID-****-232
730,Employee_0527,여,29,10,2012,주임,마켓팅,No,78,80,4,82313994,EID-****
2971,Employee_0528,남,40,17,2014,사원,재무,No,178,38,5,71556772,EID-****-971
1010,Employee_0529,남,29,8,2013,인턴,개발,Yes,323,40,13,15915139,EID-****-010
726,Employee_0530,남,33,11,2012,인턴,법무,No,214,44,22,30630278,EID-****
2733,Employee_0531,남,41,20,2013,대리,인사,No,55,60,10,108985557,EID-****-733
1616,Employee_0532,남,44,24,2011,과장,총무,No,114,55,12,129346911,EID-****-616
2064,Employee_0533,남,41,23,2011,대리,기획,No,28,67,10,110460557,EID-****-064
2229,Employee_0534,남,35,16,2016,사원,마켓팅,No,212,37,8,42287848,EID-****-229
3422,Employee_0535,남,40,21,2015,사원,재무,Yes,478,78,4,49431772,EID-****-422
232,Employee_0536,남,36,22,2010,과장,개발,No,300,64,10,121291633,EID-****
2912,Employee_0537,남,39,22,2014,주임,법무,No,163,83,9,95127987,EID-****-912
3291,Employee_0538,남,37,16,2010,사원,인사,No,250,60,3,67457917,EID-****-291
5002,Employee_0539,남,35,16,2016,주임,영업,No,158,37,13,82287848,EID-****-002
3927,Employee_0540,남,45,28,2015,인턴,총무,No,202,36,22,34575696,EID-****-927
5596,Employee_0541,남,27,7,2015,사원,기획,No,56,43,10,48857570,EID-****-596
4409,Employee_0542,남,45,24,2011,대리,영업,No,299,82,7,106175696,EID-****-409
592,Employee_0543,남,33,16,2011,사원,마켓팅,No,302,51,20,58611528,EID-****
3850,Employee_0544,남,40,20,2015,사원,재무,No,157,68,10,52431772,EID-****-850
635,Employee_0545,남,45,35,2015,차장,영업,No,90,39,4,131863544,EID-****
925,Employee_0546,여,28,10,2012,사원,개발,No,120,53,4,41410209,EID-****
2225,Employee_0547,남,45,38,2012,차장,법무,No,297,42,12,136013544,EID-****-225
5590,Employee_0548,남,28,13,2015,사원,인사,No,64,45,6,75286354,EID-****-590
2732,Employee_0549,남,36,25,2015,과장,총무,No,90,43,19,124004481,EID-****-732
3141,Employee_0550,남,46,25,2014,사원,기획,No,182,50,14,40129481,EID-****-141
2005,Employee_0551,남,42,22,2012,대리,마켓팅,No,28,39,14,108464341,EID-****-005
1181,Employee_0552,남,40,23,2011,사원,영업,Yes,339,38,16,71481772,EID-****-181
5109,Employee_0553,여,40,24,2011,대리,재무,Yes,140,58,12,98218126,EID-****-109
1419,Employee_0554,남,40,22,2011,사원,개발,No,215,46,25,69606772,EID-****-419
5291,Employee_0555,여,35,13,2014,주임,법무,No,102,37,4,79824202,EID-****-291
75,Employee_0556,남,30,11,2011,인턴,인사,No,303,39,9,37150174,EID-****
4390,Employee_0557,여,32,18,2011,주임,개발,No,20,62,7,79600348,EID-****-390
3073,Employee_0558,남,35,17,2012,사원,총무,No,249,56,11,58600348,EID-****-073
2966,Employee_0559,남,38,22,2014,사원,기획,Yes,333,42,17,66574202,EID-****-966
2175,Employee_0560,남,47,24,2014,사원,마켓팅,No,243,37,11,70195765,EID-****-175
3362,Employee_0561,남,47,28,2011,과장,영업,No,72,47,9,118633265,EID-****-362
2550,Employee_0562,남,39,20,2013,사원,영업,No,71,49,18,70602987,EID-****-550
2336,Employee_0563,여,40,27,2012,사원,영업,No,129,57,11,57943126,EID-****-336
1788,Employee_0564,여,40,20,2011,사원,재무,No,236,52,12,60893126,EID-****-788
4576,Employee_0565,남,35,17,2012,주임,개발,No,348,51,17,88112848,EID-****-576
5312,Employee_0566,남,33,11,2010,주임,법무,No,110,41,19,91630278,EID-****-312
4799,Employee_0567,남,34,17,2010,주임,인사,No,68,39,12,93959063,EID-****-799
2928,Employee_0568,남,46,24,2012,대리,총무,Yes,153,34,12,98279481,EID-****-928
1111,Employee_0569,남,46,29,2013,주임,기획,No,34,31,18,80604481,EID-****-111
4856,Employee_0570,남,36,14,2010,과장,마켓팅,Yes,184,56,0,116766633,EID-****-856
2309,Employee_0571,여,40,22,2012,사원,재무,No,93,82,8,67893126,EID-****-309
2683,Employee_0572,여,33,16,2011,인턴,개발,Yes,305,58,2,12716633,EID-****-683
507,Employee_0573,남,37,15,2011,사원,법무,No,120,33,24,74435417,EID-****
2688,Employee_0574,남,42,23,2013,주임,인사,No,251,47,9,80464341,EID-****-688
2779,Employee_0575,남,33,11,2016,주임,영업,No,46,40,12,84430278,EID-****-779
1289,Employee_0576,여,32,19,2010,사원,총무,Yes,246,62,3,73037848,EID-****-289
2783,Employee_0577,여,39,19,2014,사원,기획,No,108,49,13,59139341,EID-****-783
3687,Employee_0578,남,41,24,2015,사원,마켓팅,No,177,32,19,54985557,EID-****-687
2852,Employee_0579,남,39,17,2014,사원,재무,No,362,26,27,55127987,EID-****-852
5103,Employee_0580,남,37,19,2011,대리,개발,No,303,48,1,114345417,EID-****-103
539,Employee_0581,여,31,15,2011,주임,법무,Yes,140,56,8,85359063,EID-****
1606,Employee_0582,남,40,27,2011,주임,인사,No,13,50,23,94031772,EID-****-606
4079,Employee_0583,여,37,22,2015,주임,총무,No,56,71,2,80431772,EID-****-079
1891,Employee_0584,남,33,14,2012,대리,영업,No,108,57,10,115067778,EID-****-891
5586,Employee_0585,여,28,11,2015,인턴,기획,No,155,59,8,27572709,EID-****-586
1453,Employee_0586,남,42,20,2014,대리,마켓팅,No,95,59,8,113589341,EID-****-453
1245,Employee_0587,남,46,26,2014,사원,재무,No,163,40,20,40129481,EID-****-245
1567,Employee_0588,남,43,25,2011,대리,영업,No,28,46,21,112893126,EID-****-567
2291,Employee_0589,남,43,20,2014,대리,개발,No,73,69,7,103843126,EID-****-291
5666,Employee_0590,남,28,23,2016,대리,법무,No,62,44,12,104574202,EID-****-666
155,Employee_0591,여,40,27,2012,인턴,인사,Yes,161,74,5,30618126,EID-****
1515,Employee_0592,여,40,25,2011,주임,총무,Yes,170,52,15,83793126,EID-****-515
4463,Employee_0593,남,31,12,2012,사원,기획,No,119,68,15,60710209,EID-****-463
4619,Employee_0594,남,33,15,2013,대리,마켓팅,No,28,51,10,112680278,EID-****-619
3837,Employee_0595,여,36,18,2015,사원,재무,No,24,46,7,54002987,EID-****-837
1496,Employee_0596,남,45,22,2011,사원,개발,No,309,43,12,51844446,EID-****-496
708,Employee_0597,남,30,11,2012,주임,영업,No,113,42,15,77443924,EID-****
5127,Employee_0598,남,30,12,2014,사원,법무,No,324,47,10,43393924,EID-****-127
1820,Employee_0599,남,30,11,2010,주임,인사,No,88,52,14,97343924,EID-****-820
3431,Employee_0600,남,36,15,2015,주임,총무,No,49,46,13,86716633,EID-****-431
4952,Employee_0601,남,28,12,2015,주임,영업,No,96,56,11,96186354,EID-****-952
4699,Employee_0602,남,33,25,2011,상무,기획,No,48,66,3,152099376,EID-****-699
5457,Employee_0603,남,28,8,2014,사원,마켓팅,No,268,59,4,50686354,EID-****-457
1658,Employee_0604,여,41,33,2011,이사,영업,No,14,36,0,144953509,EID-****-658
3463,Employee_0605,여,50,30,2014,주임,재무,No,120,54,11,83130974,EID-****-463
1219,Employee_0606,남,33,16,2010,주임,개발,No,153,37,17,81480278,EID-****-219
5413,Employee_0607,남,34,15,2016,사원,법무,No,77,54,1,70859063,EID-****-413
29,Employee_0608,남,33,12,2011,차장,인사,No,239,43,25,133319671,EID-****
3419,Employee_0609,여,38,19,2015,사원,총무,No,21,79,2,51860557,EID-****-419
2135,Employee_0610,남,51,33,2013,대리,기획,No,41,39,10,108323404,EID-****-135
5340,Employee_0611,남,39,21,2016,대리,영업,No,173,35,12,108002987,EID-****-340
1198,Employee_0612,남,38,19,2011,사원,마켓팅,No,110,64,15,75984202,EID-****-198
4448,Employee_0613,남,32,14,2012,과장,재무,No,35,45,5,118313994,EID-****-448
5189,Employee_0614,남,34,16,2010,사원,개발,No,26,26,16,48359063,EID-****-189
810,Employee_0615,여,29,15,2012,사원,법무,No,5,54,11,58301494,EID-****
5040,Employee_0616,남,33,15,2012,인턴,인사,No,183,42,7,31830278,EID-****-040
4106,Employee_0617,남,32,10,2012,대리,총무,No,153,33,9,99988994,EID-****-106
4424,Employee_0618,남,32,11,2011,대리,기획,Yes,209,67,6,98001494,EID-****-424
4709,Employee_0619,남,30,11,2014,사원,마켓팅,No,257,43,20,42418924,EID-****-709
426,Employee_0620,여,39,21,2012,인턴,재무,Yes,184,68,6,32114341,EID-****
5460,Employee_0621,여,36,18,2013,주임,개발,No,176,54,1,79427987,EID-****-460
4820,Employee_0622,남,31,9,2011,주임,개발,No,179,44,11,87347709,EID-****-820
1630,Employee_0623,남,42,22,2011,주임,법무,No,119,65,12,82489341,EID-****-630
4632,Employee_0624,여,29,14,2013,사원,인사,No,143,47,11,54501494,EID-****-632
4770,Employee_0625,남,28,8,2016,사원,총무,No,75,46,22,72286354,EID-****-770
2857,Employee_0626,남,39,19,2012,사원,기획,Yes,186,39,17,74177987,EID-****-857
